,cov,sleep
0,1.0,0.03
1,1.0,0.03
2,1.0,0.06
3,1.0,0.04
4,1.0,0.07
5,1.0,0.05
6,0.9998999834060669,0.07
7,1.0,0.04
8,1.0,0.04
9,1.0,0.07
10,1.0,0.03
11,1.0,0.07
12,0.9990997910499573,0.06
13,1.0,0.06
14,1.0,0.04
15,1.0,0.02
16,0.9998999834060669,0.03
17,1.0,0.04
18,1.0,0.07
19,1.0,0.07
20,1.0,0.07
21,1.0,0.06
22,1.0,0.06
23,1.0,0.06
24,1.0,0.07
25,1.0,0.05
26,1.0,0.06
27,0.9998999834060669,0.05
28,1.0,0.07
29,1.0,0.05
30,1.0,0.05
31,1.0,0.05
32,1.0,0.05
33,1.0,0.05
34,1.0,0.04
35,1.0,0.06
36,1.0,0.1
37,1.0,0.05
38,1.0,0.06
39,1.0,0.04
40,1.0,0.02
41,0.9976995587348938,0.08
42,1.0,0.06
43,1.0,0.05
44,1.0,0.03
45,1.0,0.05
46,1.0,0.08
47,1.0,0.08
48,1.0,0.04
49,0.9998999834060669,0.08
50,1.0,0.01
51,1.0,0.03
52,1.0,0.05
53,1.0,0.07
54,1.0,0.07
55,1.0,0.03
56,1.0,0.06
57,1.0,0.04
58,1.0,0.05
59,1.0,0.05
60,0.9998999834060669,0.08
61,1.0,0.06
62,1.0,0.03
63,1.0,0.07
64,1.0,0.1
65,0.9998999834060669,0.05
66,1.0,0.05
67,1.0,0.05
68,1.0,0.06
69,1.0,0.05
70,1.0,0.07
71,1.0,0.05
72,1.0,0.04
73,1.0,0.04
74,0.9998999834060669,0.07
75,1.0,0.08
76,0.9990997910499573,0.06
77,1.0,0.03
78,1.0,0.03
79,0.9998999834060669,0.06
80,1.0,0.06
81,1.0,0.07
82,1.0,0.06
83,1.0,0.08
84,0.9998999834060669,0.06
85,1.0,0.05
86,1.0,0.05
87,0.9998999834060669,0.06
88,1.0,0.04
89,1.0,0.04
90,1.0,0.05
91,0.9977995753288269,0.07
92,1.0,0.05
93,0.9977995753288269,0.07
94,1.0,0.03
95,1.0,0.06
96,0.9998999834060669,0.05
97,0.9996999502182007,0.04
98,1.0,0.06
99,1.0,0.09
100,0.9990997910499573,0.06
101,0.9996999502182007,0.06
102,1.0,0.05
103,1.0,0.06
104,1.0,0.05
105,1.0,0.06
106,0.9990997910499573,0.08
107,1.0,0.04
108,1.0,0.05
109,1.0,0.05
110,1.0,0.06
111,1.0,0.05
112,1.0,0.05
113,1.0,0.02
114,1.0,0.05
115,1.0,0.08
116,1.0,0.07
117,1.0,0.07
118,1.0,0.03
119,1.0,0.04
120,1.0,0.04
121,1.0,0.04
122,1.0,0.03
123,1.0,0.05
124,1.0,0.07
125,1.0,0.04
126,1.0,0.04
127,1.0,0.04
128,1.0,0.09
129,1.0,0.09
130,1.0,0.03
131,1.0,0.02
132,1.0,0.05
133,1.0,0.03
134,1.0,0.06
135,1.0,0.05
136,1.0,0.06
137,1.0,0.05
138,1.0,0.06
139,1.0,0.07
140,1.0,0.04
141,0.9998999834060669,0.07
142,1.0,0.06
143,0.9998999834060669,0.07
144,1.0,0.02
145,1.0,0.04
146,1.0,0.04
147,1.0,0.05
148,1.0,0.04
149,1.0,0.05
150,1.0,0.06
151,1.0,0.04
152,1.0,0.04
153,0.9989997744560242,0.03
154,1.0,0.05
155,1.0,0.04
156,1.0,0.05
157,1.0,0.06
158,1.0,0.07
159,1.0,0.04
160,1.0,0.03
161,1.0,0.06
162,1.0,0.04
163,1.0,0.07
164,1.0,0.03
165,1.0,0.04
166,1.0,0.07
167,1.0,0.07
168,1.0,0.07
169,0.9998999834060669,0.06
170,0.9968993663787842,0.07
171,1.0,0.06
172,0.9998999834060669,0.04
173,1.0,0.08
174,1.0,0.04
175,1.0,0.04
176,1.0,0.09
177,1.0,0.04
178,1.0,0.05
179,0.9998999834060669,0.06
180,0.9998999834060669,0.03
181,1.0,0.06
